Time,30L,30I,45L,45I,60L,60I
2023-05-07 06:30:00,,2.7413614863282376e-07,,8.00096424566254e-07,,
2023-05-07 06:45:00,,2.7428901580536097e-07,,8.030111204686385e-07,,
2023-05-07 07:00:00,,2.743331178864448e-07,,8.056203300470886e-07,,
2023-05-07 07:15:00,,2.742818964404523e-07,,8.079633676617308e-07,,
2023-05-07 07:30:00,,2.741441364272813e-07,,8.100440129659287e-07,,
2023-05-07 07:45:00,,2.739340124877346e-07,,8.118496765139835e-07,,
2023-05-07 08:00:00,,2.7367345480181936e-07,,8.133875245970434e-07,,
2023-05-07 08:15:00,,2.7338393280626446e-07,,8.146494281630644e-07,,
2023-05-07 08:30:00,,2.730871156212438e-07,,8.156255495551519e-07,,
2023-05-07 08:45:00,,2.7280400956313915e-07,,8.162954627168678e-07,,
2023-05-07 09:00:00,,2.725541154660685e-07,,8.166166720108807e-07,,
2023-05-07 09:15:00,,2.7235185686568793e-07,,8.165170850403457e-07,,
2023-05-07 09:30:00,,2.72214190253957e-07,,8.159544572725797e-07,,
2023-05-07 09:45:00,,2.7215178909610557e-07,,8.148909576205929e-07,,
2023-05-07 10:00:00,,2.7217180490252606e-07,,8.133111104621346e-07,,
2023-05-07 10:15:00,,2.722674464452838e-07,,8.112102441570877e-07,,
2023-05-07 10:30:00,,2.724459904370072e-07,,8.086195488085001e-07,,
2023-05-07 10:45:00,,2.7270203838586743e-07,,8.055818989850773e-07,,
2023-05-07 11:00:00,,2.7302653846944736e-07,,8.021567437258308e-07,,
2023-05-07 11:15:00,,2.7343056633254706e-07,,7.984179386572252e-07,,
2023-05-07 11:30:00,,2.738999495441634e-07,,7.94449072709241e-07,,
2023-05-07 11:45:00,,2.744262604799819e-07,,7.903437584756162e-07,,
2023-05-07 12:00:00,,2.7499696784866367e-07,,7.862080740173e-07,,
2023-05-07 12:15:00,,2.756243530053954e-07,,7.821444731590999e-07,,
2023-05-07 12:30:00,,2.763038122133846e-07,,7.782712566230886e-07,,
2023-05-07 12:45:00,,2.77025963823724e-07,,7.747163172738706e-07,,
2023-05-07 13:00:00,,2.778156409201739e-07,,7.71575048204203e-07,,
2023-05-07 13:15:00,,2.7866347495812284e-07,,7.689689894278573e-07,,
2023-05-07 13:30:00,,2.795230024762522e-07,,7.670805360015908e-07,,
2023-05-07 13:45:00,,2.8041849462085933e-07,,7.660804472963245e-07,,
2023-05-07 14:00:00,,2.813361629885978e-07,,7.661867151558681e-07,,
2023-05-07 14:15:00,,2.8225934426467423e-07,,7.67532715602885e-07,,
2023-05-07 14:30:00,,2.831676646724302e-07,,7.701092481270998e-07,,
2023-05-07 14:45:00,,2.8403719794930745e-07,,7.737903719805626e-07,,
2023-05-07 15:00:00,,2.848726160466912e-07,,7.783796651343404e-07,,
2023-05-07 15:15:00,,2.856779701560833e-07,,7.836553386932358e-07,,
2023-05-07 15:30:00,,2.863899750419159e-07,,7.893795406440866e-07,,
2023-05-07 15:45:00,,2.869827228190662e-07,,7.953392018186125e-07,,
2023-05-07 16:00:00,,2.8743907987247854e-07,,8.013530291238822e-07,,
2023-05-07 16:15:00,,2.8776356718869416e-07,,8.072967278810002e-07,,
2023-05-07 16:30:00,,2.8796205089009326e-07,,8.130810250829426e-07,,
2023-05-07 16:45:00,,2.8802666087415714e-07,,8.185954789593689e-07,,
2023-05-07 17:00:00,,2.8793992494834996e-07,,8.236711731784802e-07,,
2023-05-07 17:15:00,,2.8770616890455395e-07,,8.28196317852151e-07,,
2023-05-07 17:30:00,,2.8733446463176557e-07,,8.320509543027629e-07,,
2023-05-07 17:45:00,,2.86840299821783e-07,,8.351238203472255e-07,,
2023-05-07 18:00:00,,2.8624189765563505e-07,,8.373126197333022e-07,,
2023-05-07 18:15:00,,2.8556645954202554e-07,,8.386661991232007e-07,,
2023-05-07 18:30:00,,2.848269397819686e-07,,8.391000593009053e-07,,
2023-05-07 18:45:00,,2.840438594798933e-07,,8.387201130241634e-07,,
2023-05-07 19:00:00,,2.8323612153561445e-07,,8.376259292209158e-07,,
2023-05-07 19:15:00,,2.8242782412529795e-07,,8.359975374841023e-07,,
2023-05-07 19:30:00,,2.816348072613359e-07,,8.338946524237333e-07,,
2023-05-07 19:45:00,,2.8086477448394666e-07,,8.313097672284879e-07,,
2023-05-07 20:00:00,,2.801171868347241e-07,,8.281921416931756e-07,,
2023-05-07 20:15:00,,2.793831165291231e-07,,8.244633858009517e-07,,
2023-05-07 20:30:00,,2.786462312580961e-07,,8.200401787847116e-07,,
2023-05-07 20:45:00,,2.7790467796120377e-07,,8.149793615854141e-07,,
2023-05-07 21:00:00,,2.7714210369652415e-07,,8.092612479832109e-07,,
2023-05-07 21:15:00,,2.7632869455632125e-07,,8.028469658875815e-07,,
2023-05-07 21:30:00,,2.7549032775580825e-07,,7.960064039443536e-07,,
2023-05-07 21:45:00,,2.746414333722654e-07,,7.888892030224296e-07,,
2023-05-07 22:00:00,,2.738330164985683e-07,,7.817120770948028e-07,,
2023-05-07 22:15:00,,2.7307154924954083e-07,,7.744872179290758e-07,,
2023-05-07 22:30:00,,2.7239564963056274e-07,,7.673678847947354e-07,,
2023-05-07 22:45:00,,2.7184419715014343e-07,,7.605459523969389e-07,,
2023-05-07 23:00:00,,2.71449969119408e-07,,7.542280565446041e-07,,
2023-05-07 23:15:00,,2.712351347141791e-07,,7.486207996957477e-07,,
2023-05-07 23:30:00,,2.712099633947911e-07,,7.439221152487969e-07,,
2023-05-07 23:45:00,,2.7140303431848587e-07,,7.403958948585408e-07,,
2023-05-08 00:00:00,,2.717773591978161e-07,,7.381080063521401e-07,,
2023-05-08 00:15:00,,2.723503776106566e-07,,7.372681844803076e-07,,
2023-05-08 00:30:00,,2.7309978539496674e-07,,7.379414649634422e-07,,
2023-05-08 00:45:00,,2.739829356730634e-07,,7.400839828971139e-07,,
2023-05-08 01:00:00,,2.7500248858805986e-07,,7.438041750844983e-07,,
2023-05-08 01:15:00,,2.761416727301403e-07,,7.491299575851389e-07,,
2023-05-08 01:30:00,,2.7739579728987276e-07,,7.561618458686717e-07,,
2023-05-08 01:45:00,,2.787334412668198e-07,,7.648522400753264e-07,,
2023-05-08 02:00:00,,2.801434046322272e-07,,7.75291012440351e-07,,
2023-05-08 02:15:00,,2.816199383627593e-07,,7.876024316815417e-07,,
2023-05-08 02:30:00,,2.831572156392113e-07,,8.017357446806774e-07,,
2023-05-08 02:45:00,,2.847618562152719e-07,,8.174184499368263e-07,,
2023-05-08 03:00:00,,2.8643380223805986e-07,,8.339962278333538e-07,,
2023-05-08 03:15:00,,2.88173734505704e-07,,8.509188395079362e-07,,
2023-05-08 03:30:00,,2.8997892863246694e-07,,8.679676862311878e-07,,
2023-05-08 03:45:00,,2.918347062558182e-07,,8.850809398749566e-07,,
2023-05-08 04:00:00,,2.937280472045129e-07,,9.0238256348331e-07,,
2023-05-08 04:15:00,,2.9564945181874046e-07,,9.20032984228224e-07,,
2023-05-08 04:30:00,,2.975793697618819e-07,,9.379895894491134e-07,,
2023-05-08 04:45:00,,2.994801781132445e-07,,9.559806272658294e-07,,
2023-05-08 05:00:00,,3.013303249693326e-07,,9.739110968997067e-07,,
2023-05-08 05:15:00,,3.0309374163801064e-07,,9.916081844675927e-07,,
2023-05-08 05:30:00,,3.047347544061429e-07,,1.0089836705611871e-06,,
2023-05-08 05:45:00,,3.0621944639346946e-07,,1.025945224411222e-06,,
2023-05-08 06:00:00,,3.075095909404961e-07,,1.0423585587546163e-06,,
2023-05-08 06:15:00,,3.085643411256437e-07,,1.0581433491059355e-06,,
2023-05-08 06:30:00,,3.093077713538121e-07,,1.0731969922878201e-06,,
2023-05-08 06:45:00,,3.0968894333116383e-07,,1.0875834564273706e-06,,
2023-05-08 07:00:00,,3.0969351283951553e-07,,1.1015311778914809e-06,,
2023-05-08 07:15:00,,3.0929571380628734e-07,,1.1153023657605872e-06,,
2023-05-08 07:30:00,,3.0844301683517735e-07,,1.1291478364292835e-06,,
2023-05-08 07:45:00,,3.0716769430835516e-07,,1.1435004203615753e-06,,
2023-05-08 08:00:00,,3.055142542124627e-07,,1.1587350358251223e-06,,
2023-05-08 08:15:00,,3.0344356822844086e-07,,1.1748278688213522e-06,,
2023-05-08 08:30:00,,3.009641736333476e-07,,1.1915384986263172e-06,,
2023-05-08 08:45:00,,2.980953077378213e-07,,1.2086238225222593e-06,,
2023-05-08 09:00:00,,2.9487112404629013e-07,,1.2261495545949756e-06,,
2023-05-08 09:15:00,,2.9138749167703335e-07,,1.244296443150497e-06,,
2023-05-08 09:30:00,,2.876996517924202e-07,,1.2627997617786637e-06,,
2023-05-08 09:45:00,,2.8382629759379575e-07,,1.2810457803620123e-06,,
2023-05-08 10:00:00,,2.7986638119479633e-07,,1.2984714066848602e-06,,
2023-05-08 10:15:00,,2.7584920563179896e-07,,1.3145176067715496e-06,,
2023-05-08 10:30:00,,2.7178692345788694e-07,,1.3287707091066093e-06,,
2023-05-08 10:45:00,,2.677349461604036e-07,,1.3410896071431414e-06,,
2023-05-08 11:00:00,,2.637457192871795e-07,,1.3514982157147714e-06,,
2023-05-08 11:15:00,,2.598310468512948e-07,,1.3600199383863633e-06,,
2023-05-08 11:30:00,,2.5603923687994165e-07,,1.3667325761348584e-06,,
2023-05-08 11:45:00,,2.5241909408301704e-07,,1.3717150344626643e-06,,
2023-05-08 12:00:00,,2.489781082157203e-07,,1.3750013661726232e-06,,
2023-05-08 12:15:00,,2.4576738265275455e-07,,1.3767623149531117e-06,,
2023-05-08 12:30:00,,2.4283162764087056e-07,,1.3772839103789913e-06,,
