Date_Time,Q (L/s),SSC (mg/L)
4/22/2023 6:15,186.8318754,8.211545
4/22/2023 6:30,182.2638844,6.351486
4/22/2023 6:45,186.8318754,6.735907
4/22/2023 7:00,199.7841662,7.590009
4/22/2023 7:15,172.2315325,9.834915
4/22/2023 7:30,188.9399608,10.03454
4/22/2023 7:45,186.8318754,7.054562
4/22/2023 8:00,204.2665467,9.427917
4/22/2023 8:15,193.216419,6.357931
4/22/2023 8:30,170.2820752,6.758419
4/22/2023 8:45,193.216419,7.951716
4/22/2023 9:00,186.8318754,13.14255
4/22/2023 9:15,188.9399608,11.77443
4/22/2023 9:30,166.4389941,8.003836
4/22/2023 9:45,172.2315325,7.890913
4/22/2023 10:00,176.1870145,7.911051
4/22/2023 10:15,176.1870145,8.281878
4/22/2023 10:30,178.1933354,6.503201
4/22/2023 10:45,218.7053465,8.141836
4/22/2023 11:00,199.7841662,6.565741
4/22/2023 11:15,176.1870145,8.953534
4/22/2023 11:30,166.4389941,8.812276
4/22/2023 11:45,178.1933354,8.072993
4/22/2023 12:00,168.3512777,7.870339
4/22/2023 12:15,182.2638844,8.5735731
4/22/2023 12:30,172.2315325,9.345917
4/22/2023 12:45,206.9965,7.009171
4/22/2023 13:00,182.2638844,10.10187
4/22/2023 13:15,188.9399608,9.151258
4/22/2023 13:30,172.2315325,7.985104
4/22/2023 13:45,168.3512777,8.849007
4/22/2023 14:00,202.014862,8.334002
4/22/2023 14:15,188.9399608,10.17371
4/22/2023 14:30,184.74368,8.616508
4/22/2023 14:45,193.216419,9.127635
4/22/2023 15:00,195.3851031,8.305274
4/22/2023 15:15,172.2315325,9.585393
4/22/2023 15:30,178.1933354,9.826016
4/22/2023 15:45,184.74368,11.12652
4/22/2023 16:00,199.7841662,9.279103
4/22/2023 16:15,168.3512777,11.43425
4/22/2023 16:30,172.2315325,10.33719
4/22/2023 16:45,162.2964257,8.559245
4/22/2023 17:00,199.7841662,10.20384
4/22/2023 17:15,195.3851031,9.580073
4/22/2023 17:30,178.1933354,9.921028
4/22/2023 17:45,211.6148615,11.45426
4/22/2023 18:00,202.014862,9.485228
4/22/2023 18:15,184.74368,8.183549
4/22/2023 18:30,195.3851031,8.296978
4/22/2023 18:45,191.0680903,8.465537
4/22/2023 19:00,218.7053465,12.85906
4/22/2023 19:15,204.2665467,13.25721
4/22/2023 19:30,218.7053465,8.708308
4/22/2023 19:45,199.7841662,8.798284
4/22/2023 20:00,188.9399608,8.800211
4/22/2023 20:15,188.9399608,7.555675
4/22/2023 20:30,182.6752212,9.91405
4/22/2023 20:45,186.8318754,10.26051
4/22/2023 21:00,199.7841662,9.081555
4/22/2023 21:15,204.7194164,8.845473
4/22/2023 21:30,211.6148615,10.17664
4/22/2023 21:45,199.7841662,7.603176
4/22/2023 22:00,206.9965,6.615065
4/22/2023 22:15,193.216419,8.502469
4/22/2023 22:30,193.216419,6.817923
4/22/2023 22:45,218.7053465,8.095217
4/22/2023 23:00,211.6148615,9.429465
4/22/2023 23:15,197.5742996,6.133169
4/22/2023 23:30,199.7841662,7.103741
4/22/2023 23:45,206.9965,8.13432
4/23/2023 0:00,193.216419,10.9713
4/23/2023 0:15,182.2638844,8.967427
4/23/2023 0:30,204.2665467,8.518687
4/23/2023 0:45,199.7841662,6.769693
4/23/2023 1:00,188.9399608,9.262142
4/23/2023 1:15,206.9965,9.611702
4/23/2023 1:30,223.5428987,6.315001
4/23/2023 1:45,193.216419,7.549223
4/23/2023 2:00,199.7841662,7.328658
4/23/2023 2:15,199.7841662,8.169637
4/23/2023 2:30,204.7194164,8.186734
4/23/2023 2:45,186.8318754,7.96019
4/23/2023 3:00,204.7194164,10.18962
4/23/2023 3:15,199.7841662,7.43536
4/23/2023 3:30,211.6148615,6.422993
4/23/2023 3:45,206.9965,7.636782
4/23/2023 4:00,176.1870145,8.345429
4/23/2023 4:15,188.9399608,7.239479
4/23/2023 4:30,188.9399608,9.649465
4/23/2023 4:45,172.2315325,9.835202
4/23/2023 5:00,193.216419,6.790901
4/23/2023 5:15,193.216419,8.269046
4/23/2023 5:30,182.2638844,8.514811
4/23/2023 5:45,199.7841662,8.16649
4/23/2023 6:00,199.7841662,8.16221
4/23/2023 6:15,199.7841662,7.925348
4/23/2023 6:30,218.7053465,8.230294
4/23/2023 6:45,211.6148615,12.29865
4/23/2023 7:00,197.5742996,7.274145
4/23/2023 7:15,211.6148615,6.941912
4/23/2023 7:30,182.2638844,7.271286
4/23/2023 7:45,186.8318754,10.60716
4/23/2023 8:00,193.216419,8.053034
4/23/2023 8:15,197.5742996,6.458273
4/23/2023 8:30,172.2315325,6.457277
4/23/2023 8:45,172.2315325,7.596121
4/23/2023 9:00,182.2638844,6.222099
4/23/2023 9:15,182.2638844,7.549506
4/23/2023 9:30,193.216419,7.894341
4/23/2023 9:45,166.4389941,8.12196
4/23/2023 10:00,166.4389941,7.074602
4/23/2023 10:15,166.4389941,10.64333
4/23/2023 10:30,145.9024596,7.795053
4/23/2023 10:45,166.4389941,6.444351
4/23/2023 11:00,162.2964257,8.136459
4/23/2023 11:15,156.7879888,8.276814
4/23/2023 11:30,166.4389941,6.876299
4/23/2023 11:45,158.6063179,8.184723
4/23/2023 12:00,153.2040778,7.307646
4/23/2023 12:15,176.1870145,8.691001
4/23/2023 12:30,162.2964257,8.681043
4/23/2023 12:45,178.1933354,9.1828722
4/23/2023 13:00,172.2315325,10.85166
4/23/2023 13:15,174.1997964,9.432228
4/23/2023 13:30,182.2638844,10.46368214
4/23/2023 13:45,178.1933354,9.443349
4/23/2023 14:00,172.2315325,9.362202
4/23/2023 14:15,195.3851031,12.38295
4/23/2023 14:30,178.1933354,7.104529
4/23/2023 14:45,191.0680903,9.737688
4/23/2023 15:00,218.7053465,10.2437
4/23/2023 15:15,193.216419,8.335242
4/23/2023 15:30,184.74368,13.23037
4/23/2023 15:45,206.9965,11.89613
4/23/2023 16:00,202.014862,10.99081
4/23/2023 16:15,199.7841662,13.65569
4/23/2023 16:30,213.956466,9.074911
4/23/2023 16:45,195.3851031,13.21157
4/23/2023 17:00,178.1933354,13.14693
4/23/2023 17:15,188.9399608,11.89542
4/23/2023 17:30,199.7841662,9.821257
4/23/2023 17:45,238.6011181,9.684222
4/23/2023 18:00,218.7053465,11.50722
4/23/2023 18:15,233.4894154,8.097101
4/23/2023 18:30,218.7053465,10.50978
4/23/2023 18:45,244.3327864,11.45493
4/23/2023 19:00,218.7053465,10.04671
4/23/2023 19:15,195.3851031,10.34922
4/23/2023 19:30,230.9684337,9.164092
4/23/2023 19:45,230.9684337,8.695061
4/23/2023 20:00,233.4894154,8.651197
4/23/2023 20:15,218.7053465,8.10263
4/23/2023 20:30,236.0335857,6.780844
4/23/2023 20:45,225.9953465,6.6710867
4/23/2023 21:00,225.9953465,8.254851
4/23/2023 21:15,211.6148615,7.505007
4/23/2023 21:30,216.3199058,7.50552
4/23/2023 21:45,246.9762563,10.00292
4/23/2023 22:00,236.0335857,8.492414
4/23/2023 22:15,236.0335857,7.640286
4/23/2023 22:30,204.7194164,6.939869
4/23/2023 22:45,218.7053465,8.148627
4/23/2023 23:00,193.216419,8.75454
4/23/2023 23:15,218.7053465,7.03475
4/23/2023 23:30,218.7053465,8.905562
4/23/2023 23:45,193.216419,9.030617
4/24/2023 0:00,223.5428987,7.616554
4/24/2023 0:15,223.5428987,7.117051
4/24/2023 0:30,230.9684337,6.734602
4/24/2023 0:45,204.7194164,7.343918
4/24/2023 1:00,206.9965,10.53338
4/24/2023 1:15,238.6011181,7.187013
4/24/2023 1:30,213.956466,8.209594
4/24/2023 1:45,225.9953465,9.390554
4/24/2023 2:00,218.7053465,7.926155
4/24/2023 2:15,244.3327864,6.811422
4/24/2023 2:30,211.6148615,8.280388
4/24/2023 2:45,213.956466,11.16686
4/24/2023 3:00,184.74368,7.657024
4/24/2023 3:15,199.7841662,9.161346
4/24/2023 3:30,230.9684337,6.635483
4/24/2023 3:45,218.7053465,9.535474
4/24/2023 4:00,188.9399608,7.107086
4/24/2023 4:15,218.7053465,7.79965
4/24/2023 4:30,193.216419,7.22589
4/24/2023 4:45,182.2638844,9.46369
4/24/2023 5:00,206.9965,7.14831
4/24/2023 5:15,213.956466,8.72377
4/24/2023 5:30,206.9965,6.64305
4/24/2023 5:45,188.9399608,7.81969
4/24/2023 6:00,199.7841662,7.85929
